Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
173,Oldenzaal,5,31840.0,15.7
1773,Olst-Wijhe,0,18071.0,0.0
175,Ommen,3,17813.0,16.8
1586,Oost Gelre,1,29704.0,3.4
826,Oosterhout,12,55616.0,21.6
85,Ooststellingwerf,0,25497.0,0.0
431,Oostzaan,3,9757.0,30.7
432,Opmeer,0,11779.0,0.0
86,Opsterland,2,29723.0,6.7
828,Oss,35,91451.0,38.3
1509,Oude IJsselstreek,2,39473.0,5.1
437,Ouder-Amstel,3,13916.0,21.6
589,Oudewater,2,10201.0,19.6
1734,Overbetuwe,15,47543.0,31.6
590,Papendrecht,2,32290.0,6.2
1894,Peel en Maas,49,43311.0,113.1
765,Pekela,1,12214.0,8.2
1926,Pijnacker-Nootdorp,11,54331.0,20.2
439,Purmerend,11,80117.0,13.7
273,Putten,3,24198.0,12.4
177,Raalte,3,37511.0,8.0
703,Reimerswaal,5,22678.0,22.0
274,Renkum,9,31302.0,28.8
339,Renswoude,0,5259.0,0.0
1667,Reusel-De Mierden,0,13060.0,0.0
275,Rheden,7,43640.0,16.0
340,Rhenen,0,20004.0,0.0
597,Ridderkerk,2,46241.0,4.3
1742,Rijssen-Holten,2,38300.0,5.2
603,Rijswijk,4,53467.0,7.5
1669,Roerdalen,4,20615.0,19.4
957,Roermond,15,58209.0,25.8
1674,Roosendaal,8,77032.0,10.4
599,Rotterdam,104,644618.0,16.1
277,Rozendaal,2,1654.0,120.9
840,Rucphen,3,22572.0,13.3
441,Schagen,6,46553.0,12.9
279,Scherpenzeel,0,9873.0,0.0
606,Schiedam,4,77999.0,5.1
88,Schiermonnikoog,0,936.0,0.0
1676,Schouwen-Duiveland,2,33779.0,5.9
965,Simpelveld,5,10516.0,47.5
1702,Sint Anthonis,10,11606.0,86.2
845,Sint-Michielsgestel,12,28991.0,41.4
1883,Sittard-Geleen,58,92661.0,62.6
610,Sliedrecht,2,25026.0,8.0
1714,Sluis,3,23386.0,12.8
90,Smallingerland,3,55938.0,5.4
342,Soest,14,46194.0,30.3
847,Someren,5,19322.0,25.9
848,Son en Breugel,7,16904.0,41.4
37,Stadskanaal,0,31789.0,0.0
180,Staphorst,3,17003.0,17.6
532,Stede Broec,3,21706.0,13.8
851,Steenbergen,4,25054.0,16.0
1708,Steenwijkerland,1,43940.0,2.3
971,Stein,5,24961.0,20.0
1904,Stichtse Vecht,10,64336.0,15.5
1900,Súdwest-Fryslân,2,89710.0,2.2
715,Terneuzen,5,54589.0,9.2
93,Terschelling,0,4890.0,0.0
448,Texel,3,13547.0,22.1
1525,Teylingen,3,37061.0,8.1
716,Tholen,2,25780.0,7.8
281,Tiel,4,41978.0,9.5
855,Tilburg,133,217259.0,61.2
183,Tubbergen,3,21276.0,14.1
1700,Twenterand,0,33792.0,0.0
1730,Tynaarlo,5,33698.0,14.8
737,Tytsjerksteradiel,1,31780.0,3.1
856,Uden,71,41782.0,169.9
450,Uitgeest,2,13528.0,14.8
451,Uithoorn,2,29424.0,6.8
184,Urk,5,20776.0,24.1
344,Utrecht,101,352866.0,28.6
1581,Utrechtse Heuvelrug,8,49515.0,16.2
981,Vaals,0,10092.0,0.0
994,Valkenburg aan de Geul,4,16470.0,24.3
858,Valkenswaard,2,30910.0,6.5
47,Veendam,0,27491.0,0.0
345,Veenendaal,2,65589.0,3.0
717,Veere,2,21835.0,9.2
861,Veldhoven,5,45337.0,11.0
453,Velsen,5,68348.0,7.3
983,Venlo,24,101603.0,23.6
984,Venray,6,43326.0,13.8
1961,Vijfheerenlanden,7,55712.0,12.6
622,Vlaardingen,7,72404.0,9.7
96,Vlieland,0,1138.0,0.0
718,Vlissingen,6,44371.0,13.5
986,Voerendaal,4,12452.0,32.1
626,Voorschoten,2,25479.0,7.8
285,Voorst,1,24417.0,4.1
865,Vught,8,26396.0,30.3
1949,Waadhoeke,0,46039.0,0.0
866,Waalre,2,17247.0,11.6
867,Waalwijk,15,48240.0,31.1
627,Waddinxveen,3,28316.0,10.6
289,Wageningen,2,38774.0,5.2
629,Wassenaar,4,26211.0,15.3
852,Waterland,7,17315.0,40.4
988,Weert,4,49842.0,8.0
457,Weesp,1,19334.0,5.2
1960,West Betuwe,11,50697.0,21.7
668,West Maas en Waal,4,19076.0,21.0
1969,Westerkwartier,2,63031.0,3.2
1701,Westerveld,0,19348.0,0.0
293,Westervoort,1,14944.0,6.7
1950,Westerwolde,0,25199.0,0.0
1783,Westland,9,108603.0,8.3
98,Weststellingwerf,0,25840.0,0.0
614,Westvoorne,3,14626.0,20.5
189,Wierden,0,24351.0,0.0
296,Wijchen,14,40951.0,34.2
1696,Wijdemeren,1,24013.0,4.2
352,Wijk bij Duurstede,5,23762.0,21.0
294,Winterswijk,0,28903.0,0.0
873,Woensdrecht,0,21866.0,0.0
632,Woerden,5,52197.0,9.6
880,Wormerland,1,16329.0,6.1
351,Woudenberg,3,13166.0,22.8
479,Zaanstad,3,155885.0,1.9
297,Zaltbommel,4,28451.0,14.1
473,Zandvoort,1,17011.0,5.9
50,Zeewolde,4,22309.0,17.9
355,Zeist,13,63934.0,20.3
299,Zevenaar,5,43488.0,11.5
637,Zoetermeer,4,124944.0,3.2
638,Zoeterwoude,0,8450.0,0.0
1892,Zuidplas,0,42762.0,0.0
879,Zundert,7,21612.0,32.4
301,Zutphen,2,47609.0,4.2
1896,Zwartewaterland,9,22503.0,40.0
642,Zwijndrecht,6,44639.0,13.4
193,Zwolle,18,127497.0,14.1
