,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
248,1742,Rijssen-Holten,21,38178.0,55.0
249,603,Rijswijk,17,54432.0,31.2
250,1669,Roerdalen,14,20572.0,68.1
251,957,Roermond,32,58254.0,54.9
252,1674,Roosendaal,26,77226.0,33.7
253,599,Rotterdam,341,651376.0,52.4
254,277,Rozendaal,2,1705.0,117.3
255,840,Rucphen,10,22873.0,43.7
256,518,s-Gravenhage,176,545163.0,32.3
257,441,Schagen,16,46482.0,34.4
258,279,Scherpenzeel,4,9880.0,40.5
259,606,Schiedam,27,78739.0,34.3
260,88,Schiermonnikoog,0,947.0,0.0
261,1676,Schouwen-Duiveland,10,33858.0,29.5
262,965,Simpelveld,12,10552.0,113.7
263,1702,Sint Anthonis,30,11672.0,257.0
264,845,Sint-Michielsgestel,32,29203.0,109.6
265,1883,Sittard-Geleen,106,92422.0,114.7
266,610,Sliedrecht,6,25217.0,23.8
267,1714,Sluis,6,23217.0,25.8
268,90,Smallingerland,8,56154.0,14.2
269,342,Soest,29,46607.0,62.2
270,847,Someren,27,19376.0,139.3
271,848,Son en Breugel,24,17321.0,138.6
272,37,Stadskanaal,1,31688.0,3.2
273,180,Staphorst,5,17144.0,29.2
274,532,Stede Broec,20,21734.0,92.0
275,851,Steenbergen,17,24501.0,69.4
276,1708,Steenwijkerland,10,44139.0,22.7
277,971,Stein,32,25000.0,128.0
278,1904,Stichtse Vecht,33,64928.0,50.8
279,1900,Súdwest-Fryslân,22,89987.0,24.4
280,715,Terneuzen,18,54438.0,33.1
281,93,Terschelling,0,4889.0,0.0
282,448,Texel,3,13573.0,22.1
283,1525,Teylingen,13,37426.0,34.7
284,716,Tholen,30,25758.0,116.5
285,281,Tiel,29,42161.0,68.8
286,855,Tilburg,306,219800.0,139.2
287,183,Tubbergen,13,21279.0,61.1
288,1700,Twenterand,6,33743.0,17.8
289,1730,Tynaarlo,17,33879.0,50.2
290,737,Tytsjerksteradiel,4,32046.0,12.5
291,856,Uden,142,42122.0,337.1
292,450,Uitgeest,8,13649.0,58.6
293,451,Uithoorn,17,29466.0,57.7
294,184,Urk,14,21033.0,66.6
295,344,Utrecht,290,357694.0,81.1
296,1581,Utrechtse Heuvelrug,30,49601.0,60.5
297,981,Vaals,8,10099.0,79.2
298,994,Valkenburg aan de Geul,13,16360.0,79.5
299,858,Valkenswaard,31,31200.0,99.4
300,47,Veendam,2,27387.0,7.3
301,345,Veenendaal,15,66491.0,22.6
302,717,Veere,9,21885.0,41.1
303,861,Veldhoven,26,45458.0,57.2
304,453,Velsen,38,68660.0,55.3
305,983,Venlo,86,101797.0,84.5
306,984,Venray,31,43604.0,71.1
307,1961,Vijfheerenlanden,36,56816.0,63.4
308,622,Vlaardingen,35,73445.0,47.7
309,96,Vlieland,0,1152.0,0.0
310,718,Vlissingen,10,44365.0,22.5
311,986,Voerendaal,10,12471.0,80.2
312,626,Voorschoten,8,25603.0,31.2
313,285,Voorst,18,24546.0,73.3
314,865,Vught,36,26554.0,135.6
315,1949,Waadhoeke,6,46079.0,13.0
316,866,Waalre,7,17454.0,40.1
317,867,Waalwijk,59,48620.0,121.3
318,627,Waddinxveen,9,29293.0,30.7
319,289,Wageningen,8,39673.0,20.2
320,629,Wassenaar,6,26214.0,22.9
321,852,Waterland,12,17422.0,68.9
322,988,Weert,41,50107.0,81.8
323,457,Weesp,10,19729.0,50.7
324,1960,West Betuwe,34,51198.0,66.4
325,668,West Maas en Waal,17,19320.0,88.0
326,1969,Westerkwartier,18,63375.0,28.4
327,1701,Westerveld,5,19460.0,25.7
328,293,Westervoort,4,14973.0,26.7
329,1950,Westerwolde,4,25796.0,15.5
330,1783,Westland,58,110357.0,52.6
331,98,Weststellingwerf,3,25916.0,11.6
332,614,Westvoorne,11,14728.0,74.7
333,189,Wierden,9,24440.0,36.8
334,296,Wijchen,38,41124.0,92.4
335,1696,Wijdemeren,5,24360.0,20.5
336,352,Wijk bij Duurstede,10,23910.0,41.8
337,294,Winterswijk,4,28865.0,13.9
338,873,Woensdrecht,6,21883.0,27.4
339,632,Woerden,40,52294.0,76.5
340,880,Wormerland,8,16299.0,49.1
341,351,Woudenberg,7,13362.0,52.4
342,479,Zaanstad,56,156711.0,35.7
343,297,Zaltbommel,16,28901.0,55.4
344,473,Zandvoort,10,17116.0,58.4
