,Gemeente,31/03/2020,05/04/2020,04/04/2020,03/04/2020,02/04/2020,01/04/2020
251,Roosendaal,11.0,15.0,15.0,15.0,12.0,12.0
252,Rotterdam,120.0,181.0,172.0,159.0,151.0,132.0
253,Rozendaal,1.0,1.0,1.0,1.0,1.0,1.0
254,Rucphen,3.0,6.0,5.0,5.0,4.0,4.0
255,s-Gravenhage,81.0,130.0,121.0,115.0,112.0,96.0
256,Schagen,10.0,13.0,12.0,11.0,10.0,10.0
257,Scherpenzeel,0.0,0.0,0.0,0.0,0.0,0.0
258,Schiedam,19.0,24.0,23.0,23.0,21.0,21.0
259,Schiermonnikoog,0.0,0.0,0.0,0.0,0.0,0.0
260,Schouwen-Duiveland,6.0,8.0,8.0,7.0,7.0,7.0
261,Simpelveld,2.0,14.0,14.0,13.0,8.0,2.0
262,Sint Anthonis,14.0,15.0,15.0,15.0,14.0,14.0
263,Sint-Michielsgestel,14.0,17.0,15.0,15.0,15.0,14.0
264,Sittard-Geleen,24.0,68.0,65.0,63.0,55.0,25.0
265,Sliedrecht,1.0,4.0,3.0,2.0,2.0,2.0
266,Sluis,4.0,4.0,4.0,4.0,4.0,4.0
267,Smallingerland,5.0,6.0,5.0,5.0,5.0,5.0
268,Soest,9.0,14.0,14.0,13.0,10.0,9.0
269,Someren,8.0,20.0,20.0,19.0,14.0,13.0
270,Son en Breugel,15.0,22.0,22.0,20.0,19.0,18.0
271,Stadskanaal,0.0,0.0,0.0,0.0,0.0,0.0
272,Staphorst,1.0,4.0,4.0,3.0,1.0,1.0
273,Stede Broec,10.0,13.0,13.0,13.0,11.0,11.0
274,Steenbergen,7.0,8.0,8.0,8.0,7.0,7.0
275,Steenwijkerland,6.0,8.0,8.0,8.0,7.0,7.0
276,Stein,11.0,28.0,26.0,25.0,24.0,11.0
277,Stichtse Vecht,16.0,22.0,20.0,20.0,18.0,16.0
278,Súdwest-Fryslân,12.0,,13.0,13.0,13.0,13.0
279,Terneuzen,11.0,15.0,15.0,15.0,14.0,13.0
280,Terschelling,0.0,0.0,0.0,0.0,0.0,0.0
281,Texel,1.0,3.0,2.0,2.0,2.0,1.0
282,Teylingen,6.0,11.0,10.0,8.0,7.0,7.0
283,Tholen,20.0,30.0,30.0,26.0,25.0,23.0
284,Tiel,21.0,26.0,24.0,24.0,21.0,21.0
285,Tilburg,115.0,144.0,139.0,135.0,124.0,119.0
286,Tubbergen,7.0,9.0,9.0,8.0,8.0,7.0
287,Twenterand,5.0,8.0,7.0,6.0,6.0,5.0
288,Tynaarlo,5.0,7.0,7.0,6.0,5.0,5.0
289,Tytsjerksteradiel,1.0,3.0,3.0,3.0,3.0,1.0
290,Uden,67.0,82.0,81.0,80.0,77.0,73.0
291,Uitgeest,3.0,3.0,3.0,3.0,3.0,3.0
292,Uithoorn,9.0,9.0,9.0,9.0,9.0,9.0
293,Urk,11.0,14.0,14.0,13.0,12.0,11.0
294,Utrecht,75.0,120.0,111.0,103.0,90.0,80.0
295,Utrechtse Heuvelrug,11.0,16.0,15.0,13.0,11.0,10.0
296,Vaals,2.0,7.0,6.0,6.0,6.0,2.0
297,Valkenburg aan de Geul,2.0,10.0,8.0,8.0,3.0,2.0
298,Valkenswaard,6.0,10.0,10.0,10.0,8.0,8.0
299,Veendam,1.0,1.0,1.0,1.0,1.0,1.0
300,Veenendaal,7.0,12.0,9.0,9.0,7.0,7.0
301,Veere,3.0,3.0,3.0,3.0,3.0,3.0
302,Veldhoven,7.0,15.0,15.0,14.0,9.0,8.0
303,Velsen,13.0,18.0,17.0,16.0,16.0,15.0
304,Venlo,64.0,85.0,83.0,80.0,72.0,66.0
305,Venray,22.0,29.0,25.0,23.0,23.0,22.0
306,Vijfheerenlanden,11.0,16.0,16.0,15.0,12.0,11.0
307,Vlaardingen,12.0,20.0,18.0,17.0,16.0,15.0
308,Vlieland,0.0,0.0,0.0,0.0,0.0,0.0
309,Vlissingen,5.0,6.0,6.0,6.0,6.0,6.0
310,Voerendaal,2.0,9.0,9.0,8.0,7.0,2.0
311,Voorschoten,4.0,7.0,7.0,6.0,5.0,5.0
312,Voorst,3.0,7.0,7.0,6.0,6.0,3.0
313,Vught,23.0,27.0,27.0,27.0,25.0,24.0
314,Waadhoeke,2.0,6.0,5.0,4.0,4.0,4.0
315,Waalre,0.0,3.0,3.0,3.0,1.0,1.0
316,Waalwijk,16.0,17.0,17.0,15.0,15.0,16.0
317,Waddinxveen,4.0,8.0,7.0,7.0,6.0,6.0
318,Wageningen,5.0,8.0,8.0,8.0,6.0,6.0
319,Wassenaar,2.0,2.0,2.0,2.0,2.0,2.0
320,Waterland,8.0,9.0,9.0,8.0,8.0,8.0
321,Weert,27.0,37.0,34.0,33.0,31.0,30.0
322,Weesp,2.0,5.0,5.0,5.0,5.0,4.0
323,West Betuwe,12.0,21.0,18.0,17.0,15.0,14.0
324,West Maas en Waal,9.0,11.0,9.0,9.0,9.0,9.0
325,Westerkwartier,9.0,11.0,10.0,10.0,10.0,9.0
326,Westerveld,1.0,3.0,3.0,3.0,2.0,1.0
327,Westervoort,2.0,4.0,4.0,4.0,3.0,3.0
328,Westerwolde,4.0,5.0,4.0,4.0,4.0,4.0
329,Westland,25.0,33.0,32.0,29.0,28.0,26.0
330,Weststellingwerf,2.0,2.0,2.0,2.0,2.0,2.0
331,Westvoorne,4.0,5.0,5.0,5.0,4.0,4.0
332,Wierden,2.0,2.0,2.0,2.0,2.0,2.0
333,Wijchen,27.0,33.0,33.0,32.0,31.0,30.0
334,Wijdemeren,3.0,5.0,5.0,5.0,5.0,4.0
335,Wijk bij Duurstede,5.0,8.0,7.0,7.0,7.0,7.0
336,Winterswijk,1.0,1.0,1.0,1.0,1.0,1.0
337,Woensdrecht,4.0,4.0,4.0,4.0,4.0,4.0
338,Woerden,22.0,31.0,28.0,27.0,26.0,25.0
339,Wormerland,8.0,12.0,12.0,11.0,10.0,9.0
340,Woudenberg,2.0,6.0,5.0,3.0,2.0,2.0
341,Zaanstad,32.0,71.0,70.0,48.0,35.0,34.0
342,Zaltbommel,8.0,13.0,10.0,10.0,10.0,9.0
343,Zandvoort,4.0,7.0,7.0,7.0,6.0,4.0
344,Zeewolde,3.0,6.0,5.0,5.0,5.0,4.0
345,Zeist,12.0,23.0,20.0,18.0,15.0,13.0
346,Zevenaar,16.0,26.0,24.0,24.0,20.0,18.0
347,Zoetermeer,21.0,28.0,25.0,24.0,23.0,22.0
348,Zoeterwoude,2.0,2.0,2.0,2.0,2.0,2.0
349,Zuidplas,9.0,12.0,12.0,12.0,10.0,10.0
350,Zundert,13.0,14.0,14.0,14.0,14.0,13.0
351,Zutphen,5.0,10.0,10.0,10.0,9.0,8.0
352,Zwartewaterland,20.0,22.0,22.0,21.0,21.0,20.0
353,Zwijndrecht,9.0,11.0,11.0,11.0,9.0,9.0
354,Zwolle,24.0,35.0,35.0,33.0,33.0,28.0
355,Noardeast-FryslÃ¢n,,4.0,,,,
356,SÃºdwest-FryslÃ¢n,,13.0,,,,
