,Gemeente,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
45,Bodegraven-Reeuwijk,10.0,9.0,8.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
46,Boekel,53.0,51.0,42.0,42.0,42.0,40.0,37.0,32.0,25.0,20.0,19.0,14.0,14.0,12.0,12.0,11.0,8.0,7.0,2.0,1.0,1.0
47,Borger-Odoorn,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Borne,15.0,13.0,12.0,11.0,8.0,7.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
49,Borsele,7.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
50,Boxmeer,17.0,13.0,10.0,9.0,9.0,7.0,7.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51,Boxtel,24.0,22.0,19.0,15.0,15.0,12.0,12.0,11.0,6.0,6.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
52,Breda,227.0,215.0,201.0,181.0,167.0,161.0,140.0,133.0,121.0,113.0,105.0,96.0,86.0,71.0,64.0,53.0,42.0,32.0,27.0,19.0,16.0
53,Brielle,10.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Bronckhorst,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
55,Brummen,5.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Brunssum,25.0,24.0,22.0,20.0,17.0,8.0,6.0,6.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Bunnik,10.0,9.0,9.0,8.0,6.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Bunschoten,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Buren,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
60,Capelle aan den IJssel,41.0,31.0,26.0,23.0,13.0,7.0,7.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Castricum,19.0,18.0,13.0,10.0,10.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Coevorden,20.0,17.0,17.0,15.0,15.0,14.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,7.0
63,Cranendonck,42.0,42.0,31.0,25.0,23.0,19.0,13.0,11.0,8.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
64,Cuijk,10.0,8.0,8.0,8.0,6.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
65,Culemborg,16.0,14.0,14.0,8.0,8.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
66,Dalfsen,15.0,14.0,13.0,12.0,11.0,9.0,8.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Dantumadiel,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,De Bilt,39.0,36.0,34.0,32.0,27.0,23.0,20.0,19.0,18.0,16.0,16.0,15.0,13.0,12.0,11.0,11.0,11.0,10.0,6.0,6.0,6.0
69,De Fryske Marren,17.0,12.0,12.0,9.0,8.0,8.0,8.0,8.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
70,De Ronde Venen,17.0,17.0,13.0,9.0,8.0,6.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
