;Gemeente;30/03/2020;29/03/2020;28/03/2020;27/03/2020;26/03/2020;25/03/2020;24/03/2020;23/03/2020;22/03/2020;21/03/2020;20/03/2020;19/03/2020;18/03/2020;17/03/2020;16/03/2020;15/03/2020;14/03/2020;13/03/2020;12/03/2020;11/03/2020;10/03/2020;09/03/2020;08/03/2020
118;Haarlem;86;81;73;66;54;46;41;29;27;25;17;10;7;7;6;4;4;4;1;1;1;2;2
119;Haarlemmermeer;61;53;45;40;30;23;23;18;16;12;8;5;4;4;2;1;0;0;0;0;0;0;0
120;Halderberge;14;13;12;10;8;8;8;7;7;5;2;2;2;2;2;0;0;0;0;0;0;0;0
121;Hardenberg;21;20;16;11;9;7;6;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0
122;Harderwijk;25;22;18;18;14;13;9;8;6;5;5;5;5;4;4;2;2;2;2;0;0;0;0
123;Hardinxveld-Giessendam;10;7;7;7;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;4;4
124;Harlingen;4;4;3;3;3;3;3;3;3;3;1;1;1;1;1;0;0;0;0;0;0;0;0
125;Hattem;12;10;7;7;5;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
126;Heemskerk;27;22;19;16;10;9;7;5;5;5;5;3;2;2;2;1;1;1;0;0;0;0;0
127;Heemstede;32;27;27;24;21;17;16;13;11;11;7;5;5;5;5;2;2;2;2;1;1;1;1
128;Heerde;40;34;28;27;24;19;15;13;9;9;5;4;3;3;2;0;0;0;0;0;0;0;0
129;Heerenveen;9;8;7;5;4;3;3;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
130;Heerhugowaard;31;27;23;20;19;16;15;10;8;5;3;2;2;1;1;1;0;0;0;0;0;0;0
