,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
242,339,Renswoude,3,5448,55.1
243,1667,Reusel-De Mierden,7,13110,53.4
244,275,Rheden,28,43736,64.0
245,340,Rhenen,3,20125,14.9
246,597,Ridderkerk,26,46204,56.3
247,1742,Rijssen-Holten,16,38178,41.9
248,603,Rijswijk,14,54432,25.7
249,1669,Roerdalen,19,20572,92.4
250,957,Roermond,37,58254,63.5
251,1674,Roosendaal,15,77226,19.4
252,599,Rotterdam,181,651376,27.8
253,277,Rozendaal,1,1705,58.7
254,840,Rucphen,6,22873,26.2
255,518,s-Gravenhage,130,545163,23.8
256,441,Schagen,13,46482,28.0
257,279,Scherpenzeel,0,9880,0.0
258,606,Schiedam,24,78739,30.5
259,88,Schiermonnikoog,0,947,0.0
260,1676,Schouwen-Duiveland,8,33858,23.6
261,965,Simpelveld,14,10552,132.7
262,1702,Sint Anthonis,15,11672,128.5
263,845,Sint-Michielsgestel,17,29203,58.2
264,1883,Sittard-Geleen,68,92422,73.6
265,610,Sliedrecht,4,25217,15.9
266,1714,Sluis,4,23217,17.2
267,90,Smallingerland,6,56154,10.7
268,342,Soest,14,46607,30.0
269,847,Someren,20,19376,103.2
270,848,Son en Breugel,22,17321,127.0
271,37,Stadskanaal,0,31688,0.0
272,180,Staphorst,4,17144,23.3
273,532,Stede Broec,13,21734,59.8
274,851,Steenbergen,8,24501,32.7
275,1708,Steenwijkerland,8,44139,18.1
276,971,Stein,28,25000,112.0
277,1904,Stichtse Vecht,22,64928,33.9
278,1900,S̼dwest-Frysl̢n,13,89987,14.4
279,715,Terneuzen,15,54438,27.6
280,93,Terschelling,0,4889,0.0
281,448,Texel,3,13573,22.1
282,1525,Teylingen,11,37426,29.4
283,716,Tholen,30,25758,116.5
284,281,Tiel,26,42161,61.7
285,855,Tilburg,144,219800,65.5
286,183,Tubbergen,9,21279,42.3
287,1700,Twenterand,8,33743,23.7
288,1730,Tynaarlo,7,33879,20.7
289,737,Tytsjerksteradiel,3,32046,9.4
290,856,Uden,82,42122,194.7
291,450,Uitgeest,3,13649,22.0
292,451,Uithoorn,9,29466,30.5
293,184,Urk,14,21033,66.6
294,344,Utrecht,120,357694,33.5
295,1581,Utrechtse Heuvelrug,16,49601,32.3
296,981,Vaals,7,10099,69.3
297,994,Valkenburg aan de Geul,10,16360,61.1
298,858,Valkenswaard,10,31200,32.1
299,47,Veendam,1,27387,3.7
300,345,Veenendaal,12,66491,18.0
301,717,Veere,3,21885,13.7
302,861,Veldhoven,15,45458,33.0
303,453,Velsen,18,68660,26.2
304,983,Venlo,85,101797,83.5
305,984,Venray,29,43604,66.5
306,1961,Vijfheerenlanden,16,56816,28.2
307,622,Vlaardingen,20,73445,27.2
308,96,Vlieland,0,1152,0.0
309,718,Vlissingen,6,44365,13.5
310,986,Voerendaal,9,12471,72.2
311,626,Voorschoten,7,25603,27.3
312,285,Voorst,7,24546,28.5
313,865,Vught,27,26554,101.7
314,1949,Waadhoeke,6,46079,13.0
315,866,Waalre,3,17454,17.2
316,867,Waalwijk,17,48620,35.0
317,627,Waddinxveen,8,29293,27.3
318,289,Wageningen,8,39673,20.2
319,629,Wassenaar,2,26214,7.6
320,852,Waterland,9,17422,51.7
321,988,Weert,37,50107,73.8
322,457,Weesp,5,19729,25.3
323,1960,West Betuwe,21,51198,41.0
324,668,West Maas en Waal,11,19320,56.9
325,1969,Westerkwartier,11,63375,17.4
326,1701,Westerveld,3,19460,15.4
327,293,Westervoort,4,14973,26.7
328,1950,Westerwolde,5,25796,19.4
329,1783,Westland,33,110357,29.9
330,98,Weststellingwerf,2,25916,7.7
331,614,Westvoorne,5,14728,33.9
332,189,Wierden,2,24440,8.2
333,296,Wijchen,33,41124,80.2
334,1696,Wijdemeren,5,24360,20.5
335,352,Wijk bij Duurstede,8,23910,33.5
336,294,Winterswijk,1,28865,3.5
337,873,Woensdrecht,4,21883,18.3
338,632,Woerden,31,52294,59.3
339,880,Wormerland,12,16299,73.6
340,351,Woudenberg,6,13362,44.9
341,479,Zaanstad,71,156711,45.3
342,297,Zaltbommel,13,28901,45.0
343,473,Zandvoort,7,17116,40.9
344,50,Zeewolde,6,22656,26.5
345,355,Zeist,23,64932,35.4
346,299,Zevenaar,26,43740,59.4
347,637,Zoetermeer,28,125283,22.3
348,638,Zoeterwoude,2,8611,23.2
349,1892,Zuidplas,12,43894,27.3
350,879,Zundert,14,21821,64.2
351,301,Zutphen,10,47942,20.9
352,1896,Zwartewaterland,22,22690,97.0
353,642,Zwijndrecht,11,44741,24.6
354,193,Zwolle,35,128831,27.2
